Category,Title,Slug,Image File,Status,Action,Image Created,Image Approved,Notes
"Breakfast","Baked Eggs with Spinach & Tomatoes","baked-eggs-spinach-tomatoes","baked-eggs-spinach-tomatoes","✅ Complete","None","","",""
"Breakfast","Breakfast Pita with Labneh & Fresh Vegetables","breakfast-pita-labneh","breakfast-pita-labneh","✅ Complete","None","","",""
"Breakfast","Ful Medames (Egyptian Fava Beans)","ful-medames","ful-medames","✅ Complete","None","","",""
"Breakfast","Greek Yogurt Breakfast Bowl","greek-yogurt-breakfast-bowl","greek-yogurt-breakfast-bowl","✅ Complete","None","","",""
"Breakfast","Labneh with Za","labneh-zaatar-olive-oil","labneh-zaatar-olive-oil","✅ Complete","None","","",""
"Breakfast","Mediterranean Avocado Toast","mediterranean-avocado-toast","mediterranean-avocado-toast","✅ Complete","None","","",""
"Breakfast","Mediterranean Breakfast Wrap","mediterranean-breakfast-wrap","mediterranean-breakfast-wrap","✅ Complete","None","","",""
"Breakfast","Mediterranean Oatmeal with Dates & Pistachios","mediterranean-oatmeal-dates-pistachios","mediterranean-oatmeal-dates-pistachios","✅ Complete","None","","",""
"Breakfast","Mediterranean Shakshuka","mediterranean-shakshuka","mediterranean-shakshuka","✅ Complete","None","","",""
"Breakfast","Spinach & Feta Omelette","spinach-feta-omelette","spinach-feta-omelette","✅ Complete","None","","",""
"Desserts","Baklava-Inspired Yogurt Parfait","baklava-yogurt-parfait","baklava-yogurt-parfait","✅ Complete","None","","",""
"Desserts","Healthy Baked Atayef with Ricotta & Pistachios","healthy-baked-atayef","healthy-baked-atayef","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Basbousa","healthy-basbousa","healthy-basbousa","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Dark Chocolate Stuffed Dates","healthy-dark-chocolate-stuffed-dates","healthy-dark-chocolate-stuffed-dates","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Date & Walnut Ma","healthy-date-walnut-maamoul","healthy-date-walnut-maamoul","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Kanafeh with Ricotta & Pistachios","healthy-kanafeh-ricotta","healthy-kanafeh-ricotta","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Mahalabia (Egyptian Milk Pudding)","healthy-mahalabia","healthy-mahalabia","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Om Ali","healthy-om-ali","healthy-om-ali","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Pistachio Baklava Rolls","healthy-pistachio-baklava-rolls","healthy-pistachio-baklava-rolls","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Roz Bel Laban (Egyptian Rice Pudding)","healthy-roz-bel-laban","healthy-roz-bel-laban","🔴 Missing Image","Generate Image","","",""
"Desserts","Healthy Sesame Tahini Cookies","healthy-sesame-tahini-cookies","healthy-sesame-tahini-cookies","🔴 Missing Image","Generate Image","","",""
"Dips & Sauces","Authentic Amba Sauce","authentic-amba-sauce","authentic-amba-sauce","🔴 Missing Image","Generate Image","","",""
"Dips & Sauces","Authentic Chermoula Sauce","authentic-chermoula-sauce","authentic-chermoula-sauce","🔴 Missing Image","Generate Image","","",""
"Dips & Sauces","Classic Tahini Sauce","classic-tahini-sauce","classic-tahini-sauce","🔴 Missing Image","Generate Image","","",""
"Dips & Sauces","Classic Toum (Lebanese Garlic Sauce)","classic-toum","classic-toum","✅ Complete","None","","",""
"Dips & Sauces","Creamy Tzatziki Sauce","creamy-tzatziki-sauce","creamy-tzatziki-sauce","✅ Complete","None","","",""
"Dips & Sauces","Green Zhoug (Zhug) Sauce","green-zhoug-sauce","green-zhoug-sauce","🔴 Missing Image","Generate Image","","",""
"Dips & Sauces","Harissa Yogurt Sauce","harissa-yogurt-sauce","harissa-yogurt-sauce","🔴 Missing Image","Generate Image","","",""
"Dips & Sauces","Roasted Red Pepper Muhammara Dip","roasted-red-pepper-muhammara-dip","roasted-red-pepper-muhammara-dip","🔴 Missing Image","Generate Image","","",""
"Dips & Sauces","Sumac Onion Salad","sumac-onion-salad","sumac-onion-salad","🔴 Missing Image","Generate Image","","",""
"Dips & Sauces","Tarator Sauce","tarator-sauce","tarator-sauce","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Arabic Coffee (Ahwa)","authentic-arabic-coffee","authentic-arabic-coffee","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Ayran (Laban Ayran)","authentic-ayran","authentic-ayran","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Carob Juice (Kharoub)","authentic-carob-juice","authentic-carob-juice","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Egyptian Karkade (Hibiscus Tea)","authentic-egyptian-karkade","authentic-egyptian-karkade","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Lebanese Mint Tea (Shai bil Nana)","authentic-lebanese-mint-tea","authentic-lebanese-mint-tea","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Lebanese White Coffee (Ahweh Baida)","authentic-white-coffee","authentic-white-coffee","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Qamar al-Din (Apricot Drink)","authentic-qamar-al-din","authentic-qamar-al-din","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Sahlab (Healthy Version)","authentic-sahlab","authentic-sahlab","🔴 Missing Image","Generate Image","","",""
"Drinks","Authentic Tamar Hindi (Egyptian Tamarind Drink)","authentic-tamar-hindi","authentic-tamar-hindi","🔴 Missing Image","Generate Image","","",""
"Drinks","Traditional Jallab (Healthy Version)","traditional-jallab","traditional-jallab","🔴 Missing Image","Generate Image","","",""
"Main Dishes","Baked Beef Kofta","baked-beef-kofta","baked-beef-kofta","🔴 Missing Image","Generate Image","","",""
"Main Dishes","Baked Herb Fish","baked-herb-fish","baked-herb-fish","✅ Complete","None","","",""
"Main Dishes","Chicken Shawarma","chicken-shawarma","chicken-shawarma","✅ Complete","None","","",""
"Main Dishes","Egyptian Koshari","egyptian-koshari","egyptian-koshari","✅ Complete","None","","",""
"Main Dishes","Grilled Chicken Shawarma","grilled-chicken-shawarma","grilled-chicken-shawarma","🔴 Missing Image","Generate Image","","",""
"Main Dishes","Lebanese Mujadara","lebanese-mujadara","lebanese-mujadara","✅ Complete","None","","",""
"Main Dishes","Mediterranean Chicken Kabsa","mediterranean-chicken-kabsa","mediterranean-chicken-kabsa","✅ Complete","None","","",""
"Main Dishes","Mediterranean Grilled Chicken Plate","mediterranean-grilled-chicken-plate","mediterranean-grilled-chicken-plate","✅ Complete","None","","",""
"Main Dishes","Mediterranean Lemon Herb Salmon","mediterranean-lemon-herb-salmon","mediterranean-lemon-herb-salmon","✅ Complete","None","","",""
"Main Dishes","Mediterranean Stuffed Bell Peppers","stuffed-bell-peppers","stuffed-bell-peppers","✅ Complete","None","","",""
"Main Dishes","Mediterranean Stuffed Eggplant","stuffed-eggplant","stuffed-eggplant","✅ Complete","None","","",""
"Main Dishes","Mediterranean Vegetable Bake","mediterranean-vegetable-bake","mediterranean-vegetable-bake","✅ Complete","None","","",""
"Main Dishes","Shish Tawook (Lebanese Chicken Kabobs)","shish-tawook","shish-tawook","✅ Complete","None","","",""
"Mezze","Baked Kibbeh","baked-kibbeh","baked-kibbeh","🔴 Missing Image","Generate Image","","",""
"Mezze","Baked Spinach Sambousek","baked-spinach-sambousek","baked-spinach-sambousek","🔴 Missing Image","Generate Image","","",""
"Mezze","Cheese Fatayer","cheese-fatayer","cheese-fatayer","🔴 Missing Image","Generate Image","","",""
"Mezze","Grilled Halloumi with Herbs & Pomegranate","grilled-halloumi-herbs-pomegranate","grilled-halloumi-herbs-pomegranate","🔴 Missing Image","Generate Image","","",""
"Mezze","Grilled Shrimp with Garlic & Lemon","grilled-shrimp-garlic-lemon","grilled-shrimp-garlic-lemon","🔴 Missing Image","Generate Image","","",""
"Mezze","Healthy Chicken Makanek","healthy-chicken-makanek","healthy-chicken-makanek","🔴 Missing Image","Generate Image","","",""
"Mezze","Makdous (Stuffed Baby Eggplants)","makdous","makdous","🔴 Missing Image","Generate Image","","",""
"Mezze","Roasted Cauliflower with Tahini Sauce","roasted-cauliflower-tahini","roasted-cauliflower-tahini","🔴 Missing Image","Generate Image","","",""
"Mezze","Spinach Fatayer","spinach-fatayer","spinach-fatayer","🔴 Missing Image","Generate Image","","",""
"Mezze","Warak Enab (Stuffed Grape Leaves)","warak-enab","warak-enab","🔴 Missing Image","Generate Image","","",""
"Salads","Cucumber Yogurt Salad","cucumber-yogurt-salad","cucumber-yogurt-salad","✅ Complete","None","","",""
"Salads","Fattoush","fattoush","fattoush","✅ Complete","None","","",""
"Salads","Greek Salad","greek-salad","greek-salad","✅ Complete","None","","",""
"Salads","Mediterranean Beetroot Salad","beetroot-salad","beetroot-salad","✅ Complete","None","","",""
"Salads","Mediterranean Chickpea Salad","mediterranean-chickpea-salad","mediterranean-chickpea-salad","🔴 Missing Image","Generate Image","","",""
"Salads","Mediterranean Lentil Salad","lentil-salad","lentil-salad","✅ Complete","None","","",""
"Salads","Mediterranean Tomato & Cucumber Salad","tomato-cucumber-salad","tomato-cucumber-salad","🔴 Missing Image","Generate Image","","",""
"Salads","Mediterranean White Bean Salad","white-bean-salad","white-bean-salad","✅ Complete","None","","",""
"Salads","Roasted Eggplant Salad","roasted-eggplant-salad","roasted-eggplant-salad","🔴 Missing Image","Generate Image","","",""
"Salads","Tabbouleh","tabbouleh-salad","tabbouleh-salad","✅ Complete","None","","",""
"Sandwiches & Wraps","Chicken Pita Wrap","chicken-pita-wrap","chicken-pita-wrap","🔴 Missing Image","Generate Image","","",""
"Sandwiches & Wraps","Mediterranean Falafel Wrap","mediterranean-falafel-wrap","mediterranean-falafel-wrap","✅ Complete","None","","",""
"Snack","Classic Baba Ganoush","baba-ganoush","classic-baba-ganoush","🔴 Missing Image","Generate Image","","",""
"Snack","Classic Creamy Hummus","classic-hummus","classic-hummus","✅ Complete","None","","",""
"Snack","Cucumber Hummus Bites","cucumber-hummus-bites","cucumber-hummus-bites","✅ Complete","None","","",""
